event_id,user_id,event_timestamp,session_id,event_type,song_id,model_version,prompt_category,generation_latency_ms,success_flag
e_00000001,u_000001,2025-11-26 14:51:00,s_u_000001_20251126_1,app_opened,,,,,
e_00000002,u_000001,2025-12-01 17:24:00,s_u_000001_20251201_1,app_opened,,,,,
e_00000003,u_000001,2025-12-01 18:39:05,s_u_000001_20251201_1,song_generated,song_00000001,v5,classical,14264.0,True
e_00000004,u_000001,2025-12-01 19:35:21,s_u_000001_20251201_1,song_extended,song_00000001,v5,,,
e_00000005,u_000001,2025-12-01 21:03:21,s_u_000001_20251201_1,song_remixed,song_00000001,v5,,,
e_00000006,u_000002,2025-11-13 20:23:00,s_u_000002_20251113_1,app_opened,,,,,
e_00000007,u_000002,2025-11-15 01:33:00,s_u_000002_20251115_1,app_opened,,,,,
e_00000008,u_000003,2025-12-07 09:31:00,s_u_000003_20251207_1,app_opened,,,,,
e_00000009,u_000003,2025-12-09 16:02:00,s_u_000003_20251209_1,app_opened,,,,,
e_00000010,u_000003,2025-12-09 09:36:04,s_u_000003_20251209_1,song_generated,song_00000002,v4.6,rock,13883.0,True
e_00000011,u_000003,2025-12-09 10:45:01,s_u_000003_20251209_1,song_extended,song_00000002,v4.6,,,
e_00000012,u_000004,2025-12-21 09:11:00,s_u_000004_20251221_1,app_opened,,,,,
e_00000013,u_000004,2025-12-25 16:21:00,s_u_000004_20251225_1,app_opened,,,,,
e_00000014,u_000004,2025-12-25 05:13:29,s_u_000004_20251225_1,song_generated,song_00000003,v4.5,jazz,17413.0,True
e_00000015,u_000004,2025-12-25 06:12:48,s_u_000004_20251225_1,song_downloaded,song_00000003,,,,
e_00000016,u_000004,2025-12-25 11:42:48,s_u_000004_20251225_1,song_published,song_00000003,,,,
e_00000017,u_000004,2025-12-25 06:32:48,s_u_000004_20251225_1,song_extended,song_00000003,v5,,,
e_00000018,u_000004,2025-12-25 06:16:48,s_u_000004_20251225_1,song_remixed,song_00000003,v4.5,,,
e_00000019,u_000004,2025-12-22 12:39:48,s_u_000004_20251222_1,app_opened,,,,,
e_00000020,u_000004,2025-12-28 06:33:48,s_u_000004_20251228_1,app_opened,,,,,
e_00000021,u_000005,2025-11-22 10:38:00,s_u_000005_20251122_1,app_opened,,,,,
e_00000022,u_000006,2025-12-28 17:14:00,s_u_000006_20251228_1,app_opened,,,,,
e_00000023,u_000006,2025-12-31 19:24:00,s_u_000006_20251231_1,app_opened,,,,,
e_00000024,u_000006,2025-12-31 05:34:27,s_u_000006_20251231_1,song_generated,song_00000004,v5,pop,9301.0,True
e_00000025,u_000006,2025-12-31 05:35:50,s_u_000006_20251231_1,song_generated,song_00000005,v4.5,pop,7631.0,True
e_00000026,u_000007,2025-12-14 15:58:00,s_u_000007_20251214_1,app_opened,,,,,
e_00000027,u_000008,2025-11-26 13:14:00,s_u_000008_20251126_1,app_opened,,,,,
e_00000028,u_000009,2025-11-08 10:37:00,s_u_000009_20251108_1,app_opened,,,,,
e_00000029,u_000009,2025-11-13 11:02:00,s_u_000009_20251113_1,app_opened,,,,,
e_00000030,u_000009,2025-11-13 14:09:07,s_u_000009_20251113_1,song_generated,song_00000006,v5,indie,10928.0,True
e_00000031,u_000009,2025-11-13 14:06:32,s_u_000009_20251113_1,song_generated,song_00000007,v5,indie,10106.0,True
e_00000032,u_000009,2025-11-13 14:14:59,s_u_000009_20251113_1,song_extended,song_00000006,v4.5,,,
e_00000033,u_000009,2025-11-13 14:24:59,s_u_000009_20251113_1,effect_added,song_00000006,,,,
e_00000034,u_000010,2025-12-16 11:11:00,s_u_000010_20251216_1,app_opened,,,,,
e_00000035,u_000010,2025-12-19 12:56:00,s_u_000010_20251219_1,app_opened,,,,,
e_00000036,u_000010,2025-12-19 20:37:13,s_u_000010_20251219_1,song_generated,song_00000008,v4.5,rock,15489.0,True
e_00000037,u_000010,2025-12-19 20:42:28,s_u_000010_20251219_1,song_generated,song_00000009,v4.6,rock,10388.0,True
e_00000038,u_000011,2025-12-12 11:30:00,s_u_000011_20251212_1,app_opened,,,,,
e_00000039,u_000011,2025-12-14 11:54:00,s_u_000011_20251214_1,app_opened,,,,,
e_00000040,u_000011,2025-12-14 05:38:09,s_u_000011_20251214_1,song_generated,song_00000010,v4.6,jazz,7013.0,True
e_00000041,u_000011,2025-12-14 05:38:04,s_u_000011_20251214_1,song_generated,song_00000011,v4.5,jazz,12159.0,True
e_00000042,u_000011,2025-12-14 05:37:43,s_u_000011_20251214_1,song_generated,song_00000012,v5,jazz,14634.0,True
e_00000043,u_000011,2025-12-14 07:38:26,s_u_000011_20251214_1,song_downloaded,song_00000010,,,,
e_00000044,u_000011,2025-12-14 11:38:26,s_u_000011_20251214_1,song_published,song_00000011,,,,
e_00000045,u_000011,2025-12-14 06:01:26,s_u_000011_20251214_1,song_extended,song_00000011,v5,,,
e_00000046,u_000011,2025-12-14 08:20:26,s_u_000011_20251214_1,song_remixed,song_00000011,v4.6,,,
e_00000047,u_000011,2025-12-14 04:14:26,s_u_000011_20251214_1,app_opened,,,,,
