user_id,signup_timestamp,region,acquisition_channel,is_creator,platform
u_000001,2025-11-26 15:32:21,APAC,influencer,False,web
u_000002,2025-11-13 14:07:00,NA,tiktok,False,ios
u_000003,2025-12-07 08:39:01,NA,organic,False,ios
u_000004,2025-12-21 01:25:48,APAC,organic,False,android
u_000005,2025-11-22 19:06:07,NA,organic,False,ios
u_000006,2025-12-28 02:07:17,NA,tiktok,True,web
u_000007,2025-12-14 21:07:51,NA,organic,False,android
u_000008,2025-11-26 22:47:24,EU,tiktok,False,android
u_000009,2025-11-08 06:36:59,NA,youtube,False,web
u_000010,2025-12-16 14:43:25,NA,youtube,False,web
u_000011,2025-12-12 22:50:26,NA,organic,False,android
u_000012,2025-12-25 09:13:23,EU,tiktok,False,web
u_000013,2025-12-24 19:48:07,APAC,influencer,True,web
u_000014,2025-12-11 16:36:32,NA,organic,False,ios
u_000015,2025-11-13 01:35:25,NA,organic,False,web
u_000016,2025-11-30 06:59:41,NA,tiktok,False,web
u_000017,2025-11-25 13:32:45,NA,youtube,False,ios
u_000018,2025-12-11 21:43:21,NA,organic,False,android
u_000019,2026-01-02 00:33:07,EU,youtube,False,android
u_000020,2025-12-13 15:18:02,EU,youtube,True,android
u_000021,2025-11-12 21:30:20,LATAM,paid_search,True,web
u_000022,2026-01-03 10:23:55,NA,organic,False,web
u_000023,2025-12-12 05:28:29,EU,youtube,False,android
u_000024,2025-11-21 15:35:28,EU,organic,False,ios
u_000025,2025-12-05 13:02:54,EU,tiktok,False,web
u_000026,2025-11-27 16:03:49,APAC,tiktok,False,web
u_000027,2026-01-02 20:44:18,NA,organic,False,web
u_000028,2025-11-05 15:24:48,NA,influencer,True,ios
u_000029,2025-12-15 05:24:14,APAC,organic,False,web
u_000030,2025-12-02 17:51:29,NA,tiktok,False,android
u_000031,2025-12-24 01:52:28,NA,organic,False,web
u_000032,2025-11-07 13:35:05,NA,youtube,True,android
u_000033,2025-12-14 04:15:39,NA,organic,True,android
u_000034,2025-11-22 08:20:58,EU,influencer,False,ios
u_000035,2025-12-11 03:31:27,NA,influencer,False,ios
u_000036,2025-11-17 10:32:48,NA,influencer,False,ios
u_000037,2025-12-08 21:00:38,EU,organic,False,web
u_000038,2025-11-07 00:34:57,EU,youtube,False,web
u_000039,2025-11-24 04:51:06,LATAM,organic,False,ios
u_000040,2025-12-08 07:04:29,NA,influencer,False,ios
u_000041,2025-11-05 16:10:50,LATAM,youtube,False,ios
u_000042,2025-12-19 21:28:33,EU,tiktok,True,ios
u_000043,2025-12-20 14:19:44,APAC,youtube,False,ios
u_000044,2025-11-19 00:53:19,NA,organic,False,ios
u_000045,2025-11-15 02:01:16,EU,tiktok,False,ios
u_000046,2025-11-21 17:49:48,APAC,organic,False,ios
u_000047,2025-11-10 15:52:21,APAC,paid_search,False,android
u_000048,2025-11-14 08:13:30,NA,influencer,True,ios
u_000049,2025-11-09 01:18:00,NA,youtube,False,ios
u_000050,2026-01-01 19:13:09,EU,paid_search,False,ios
u_000051,2025-11-29 06:36:07,LATAM,organic,False,ios
u_000052,2025-11-14 21:29:20,NA,paid_search,True,ios
u_000053,2025-12-28 22:10:35,EU,organic,False,web
u_000054,2025-12-14 19:10:56,APAC,youtube,True,android
u_000055,2025-12-26 16:08:20,APAC,youtube,True,web
u_000056,2025-11-27 01:04:07,EU,organic,False,ios
u_000057,2025-12-18 11:10:23,NA,organic,False,web
u_000058,2026-01-01 10:45:29,LATAM,organic,False,web
u_000059,2025-12-10 15:14:56,EU,paid_search,False,android
u_000060,2025-11-06 06:22:39,APAC,organic,False,ios
u_000061,2025-12-21 18:46:51,NA,tiktok,False,android
u_000062,2025-11-15 22:47:30,EU,youtube,False,web
u_000063,2025-11-08 09:30:55,NA,organic,False,web
u_000064,2025-12-27 04:16:16,NA,tiktok,False,web
u_000065,2025-12-10 01:16:28,APAC,tiktok,False,ios
u_000066,2025-11-12 19:12:50,EU,organic,False,android
u_000067,2026-01-02 23:10:50,APAC,youtube,False,ios
u_000068,2025-12-16 00:54:20,NA,organic,True,ios
u_000069,2025-12-07 20:56:26,EU,organic,False,android
u_000070,2025-11-18 20:04:02,NA,tiktok,True,web
u_000071,2025-11-06 00:49:24,EU,tiktok,False,ios
u_000072,2025-12-28 18:41:38,NA,paid_search,True,ios
u_000073,2025-11-21 13:22:07,APAC,paid_search,False,web
u_000074,2025-12-27 18:34:55,APAC,tiktok,False,web
u_000075,2025-11-19 08:16:10,NA,organic,False,web
u_000076,2025-12-01 10:43:18,NA,organic,False,android
u_000077,2025-12-22 01:07:45,EU,organic,False,ios
u_000078,2025-12-19 10:26:06,APAC,tiktok,False,android
u_000079,2025-11-30 04:47:19,APAC,influencer,False,ios
u_000080,2025-11-16 04:30:29,APAC,organic,False,ios
u_000081,2025-11-26 08:13:31,NA,organic,False,ios
u_000082,2026-01-01 11:17:22,NA,tiktok,False,android
u_000083,2026-01-02 19:01:41,NA,organic,False,web
u_000084,2025-12-29 12:10:39,NA,youtube,True,web
u_000085,2025-11-11 14:16:52,APAC,tiktok,False,ios
u_000086,2025-11-24 07:50:25,NA,tiktok,False,android
u_000087,2026-01-01 07:32:33,LATAM,organic,False,android
u_000088,2025-11-12 02:17:40,APAC,paid_search,False,ios
u_000089,2025-12-06 12:18:01,APAC,organic,False,web
u_000090,2025-12-18 04:58:06,LATAM,influencer,True,web
u_000091,2025-12-10 04:12:34,NA,organic,False,android
u_000092,2025-11-21 14:23:34,APAC,paid_search,True,ios
u_000093,2025-12-02 09:16:48,NA,youtube,False,web
u_000094,2025-12-25 23:50:25,NA,organic,True,android
u_000095,2025-11-30 03:06:05,APAC,influencer,False,web
u_000096,2025-12-21 13:33:27,NA,youtube,False,ios
u_000097,2025-12-04 17:59:29,LATAM,organic,True,ios
u_000098,2025-11-18 05:11:58,APAC,organic,False,web
u_000099,2025-12-20 16:40:08,APAC,youtube,False,web
u_000100,2025-12-28 09:25:12,NA,youtube,False,web
u_000101,2025-12-22 05:33:35,APAC,youtube,False,ios
u_000102,2025-12-12 22:43:43,NA,youtube,True,ios
u_000103,2025-11-05 23:08:32,APAC,youtube,True,web
u_000104,2025-11-08 16:07:34,NA,youtube,False,android
u_000105,2025-11-25 18:57:00,APAC,tiktok,False,web
u_000106,2025-12-14 18:59:03,NA,organic,False,web
